# Names worked out by reading the decompiled function, with tools/re/batch.py for context.
# Only functions whose purpose is unambiguous from the body are named here; anything needing a guess is
# left as FUN_, because a wrong name in a database several people rely on costs more than a blank one.
#
# Script command arguments carry a 3-bit tag in their first word: bit 0 means "this is an instance
# property index rather than a literal", and bits 1-2 are the type - 0 int, 1 angle, 2 float. The three
# readers are GetScriptIntArg (0x209A68), GetScriptAngleArg (0x209AB0) and GetScriptFloatArg (0x209A00),
# and each tests (arg & 6) for its own value.
#
# address	kind	name	detail
00101408	F	InitPublicObjectBuilder	zeroes first/last builder and both counts
00101620	F	BuilderIteratorAtEnd	index < 0 or index >= the container's count
00101720	F	BuildScriptCommand	a2 == -10, id < 0x297, tail-calls ScriptCommandTable[id]
0011bf10	F	AngleToFixed	mode 1 degrees x182.044, 2 revolutions x65536, else radians x10430.378
0011e698	F	ResetInstanceCollisionTransform	identity matrix at the instance position, applied to its collision data
0011e750	F	UpdateInstanceNodeType1	per-frame: vtable +0x6c, sync instInfo, stamp lastUpdateStamp
0011eaa8	F	ClearScriptPackSlots	zeroes all five script-pack slots and their parallel arrays
0011ea18	F	GetOrCreateInstanceParticles	lazily allocates the instance's particle block at +0xa4
002083a0	F	ScriptCommandInterface_Destroy	restores the base vtable, destroys the chained object, frees when bit 0 of the flag is set
00208798	F	InitDiskDataReader	binds a disk node, resolves its data position, rewinds
002087f8	F	DiskDataReader_Rewind	cursor (+0xc) back to zero
00208818	F	DiskDataReader_AtEnd	cursor >= the node's element count
00208830	F	DiskDataReader_Next	cursor (+0xc) forward one
001c11d0	F	ReleaseGameTexture	id -1 frees it and its vifCodeBlock, otherwise returns it to the texture table
00299628	F	PrecompiledShaderAnimation_Destroy	frees the packed animation, releases the disc node, frees self on bit 0
00164ca8	F	Vector4SetXY	copies x and y from a Vector2, leaves z and w alone
001721a8	F	GetAgentNode	first present node among 0xd,0xe,0xf,0xc,0x10,0x11,0x14,0x12,0x13 - whichever agent type this is
00205c18	F	ReleaseDiskNode	bit 17 of the node's bitfield picks which of the two release paths to take
00208528	F	ReadScriptArgInt	reads one int argument, returning the default when the command does not supply it
00200088	F	ExpandBoundingBox	grows a bbox by a radius: min components down, max components up
001f8db0	F	BoundingBoxesOverlap	AABB overlap on all three axes
00200550	F	InitModelCollisionData	zeroes the whole struct including the position array pointer
00282680	F	GetCollisionSurface	indexes G_CollisionSurfaces by the u16 surface id at +0x30
00208680	F	StoreScriptArgTyped	writes a command argument into a script value slot by its 2-bit type tag; angles go through AngleToFixed
00209a68	F	GetScriptIntArg	literal (arg >> 3) or instance int property when bit 0 is set - the int sibling of GetScriptFloatArg
00200590	F	ModelCollisionData_Destroy	frees the position array, then self when bit 0 of the flag is set
00197918	F	AttachNodeToInstance	adds a node to the context's node list, gives it the context, registers it with the chunk
0011c028	F	Vector4InverseLengthIfAbove	1/|v| when |v| exceeds the given threshold, otherwise the supplied default
00208578	F	StoreScriptArgToSlot	writes the argument into slot 0, 1 or 2 by the selector in front of it
001975b0	F	GetOrCreateContextRefsNode	game node 6 - the contexts this instance references - allocating and attaching it when absent. TriggerLinkedObjects reads it as linked objects, NowRotateJoint as joints, so the list is general
0013fe60	F	CharacterIdToIndex	maps character object ids (0x232 up) to small indices
